"RefDate","Symbol","Timestamp","BidPrice","AskPrice","Price","Quantity","Pid"
"2015-08-03","MSFT",34200004,46.87,47,46.98,138,"P"
"2015-08-03","MSFT",34200267,46.87,47,46.99,100,"J"
"2015-08-03","MSFT",34200331,46.87,47,47,400,"J"
"2015-08-03","MSFT",34200331,46.87,47,47,100,"J"
"2015-08-03","MSFT",34200439,46.87,46.99,46.89,100,"Y"
"2015-08-03","MSFT",34200647,46.87,46.99,46.95,354389,"Q"
"2015-08-03","MSFT",34200777,46.9,46.96,46.935,100,"Q"
"2015-08-03","MSFT",34200786,46.9,46.96,46.93,100,"D"
"2015-08-03","MSFT",34200925,46.9,46.96,46.91,100,"Y"
"2015-08-03","MSFT",34200974,46.9,46.96,46.91,100,"Y"
"2015-08-03","MSFT",34201252,46.9,46.96,46.9,100,"D"
"2015-08-03","MSFT",34201352,46.9,46.96,46.96,100,"D"
"2015-08-03","MSFT",34201714,46.92,46.95,46.96,100,"D"
"2015-08-03","MSFT",34201725,46.92,46.95,46.96,100,"D"
"2015-08-03","MSFT",34201950,46.91,46.92,46.93,287,"Q"
"2015-08-03","MSFT",34201950,46.91,46.92,46.92,100,"Q"
"2015-08-03","MSFT",34201950,46.91,46.92,46.92,100,"Q"
"2015-08-03","MSFT",34201950,46.91,46.92,46.92,100,"Q"
"2015-08-03","MSFT",34202008,46.9,46.91,46.905,100,"Z"
"2015-08-03","MSFT",34202038,46.9,46.91,46.91,100,"D"
"2015-08-03","MSFT",34202041,46.9,46.91,46.91,100,"D"
"2015-08-03","MSFT",34202166,46.9,46.91,46.9,2117,"Q"
"2015-08-03","MSFT",34202166,46.9,46.91,46.9,900,"Q"
"2015-08-03","MSFT",34202166,46.9,46.91,46.91,100,"Y"
"2015-08-03","MSFT",34202166,46.9,46.91,46.9,100,"Z"
"2015-08-03","MSFT",34202167,46.9,46.91,46.9,100,"P"
"2015-08-03","MSFT",34202169,46.9,46.91,46.9,4768,"Q"
"2015-08-03","MSFT",34202314,46.9,46.91,46.9,400,"P"
"2015-08-03","MSFT",34202378,46.9,46.91,46.91,100,"J"
"2015-08-03","MSFT",34202378,46.9,46.91,46.91,100,"J"
"2015-08-03","MSFT",34202378,46.9,46.91,46.91,100,"Z"
"2015-08-03","MSFT",34202382,46.9,46.91,46.91,100,"Z"
"2015-08-03","MSFT",34202385,46.9,46.93,46.91,100,"Q"
"2015-08-03","MSFT",34202386,46.92,46.93,46.91,100,"Q"
"2015-08-03","MSFT",34202391,46.92,46.93,46.91,100,"D"
"2015-08-03","MSFT",34202585,46.91,46.92,46.91,200,"D"
"2015-08-03","MSFT",34202648,46.93,46.94,46.93,100,"Q"
"2015-08-03","MSFT",34202650,46.93,46.94,46.935,100,"Q"
"2015-08-03","MSFT",34202725,46.92,46.93,46.93,100,"P"
"2015-08-03","MSFT",34202917,46.92,46.93,46.925,100,"D"
"2015-08-03","MSFT",34202950,46.91,46.92,46.92,100,"Q"
"2015-08-03","MSFT",34202979,46.91,46.92,46.915,100,"J"
"2015-08-03","MSFT",34202996,46.91,46.92,46.93,100,"D"
"2015-08-03","MSFT",34202997,46.91,46.92,46.92,100,"Q"
"2015-08-03","MSFT",34202997,46.91,46.92,46.92,100,"Q"
"2015-08-03","MSFT",34203006,46.91,46.92,46.92,100,"Z"
"2015-08-03","MSFT",34203015,46.91,46.92,46.925,100,"D"
"2015-08-03","MSFT",34203033,46.91,46.92,46.91,100,"D"
"2015-08-03","MSFT",34203083,46.91,46.92,46.91,100,"Z"
"2015-08-03","MSFT",34203108,46.91,46.92,46.91,100,"Q"
"2015-08-03","MSFT",34203247,46.91,46.92,46.9001,100,"D"
"2015-08-03","MSFT",34203254,46.91,46.93,46.92,100,"Q"
"2015-08-03","MSFT",34203254,46.91,46.93,46.915,100,"Z"
"2015-08-03","MSFT",34203292,46.92,46.93,46.93,100,"Q"
"2015-08-03","MSFT",34203292,46.92,46.93,46.93,100,"Q"
"2015-08-03","MSFT",34203292,46.92,46.93,46.93,100,"Z"
"2015-08-03","MSFT",34203306,46.92,46.93,46.91,100,"D"
"2015-08-03","MSFT",34203311,46.92,46.93,46.91,100,"D"
"2015-08-03","MSFT",34203790,46.92,46.93,46.92,100,"Z"
"2015-08-03","MSFT",34203790,46.92,46.93,46.92,100,"K"
"2015-08-03","MSFT",34203790,46.92,46.93,46.92,300,"K"
"2015-08-03","MSFT",34203790,46.92,46.93,46.92,100,"Q"
